# t_s,ankle_deg,vF_mV,vE_mV,f_DF_Hz,u_DF,f_PF_Hz,u_PF
0.033000,15.580410,26.322589,25.458974,12.255812,0.200972,0.000000,0.000000
0.033150,15.577246,26.302132,25.449109,12.219045,0.200369,0.000000,0.000000
0.033300,15.575494,26.281252,25.438769,12.182388,0.199768,0.000000,0.000000
0.033450,15.575572,26.259956,25.427958,12.145841,0.199168,0.000000,0.000000
0.033600,15.577814,26.238246,25.416680,12.109403,0.198571,0.000000,0.000000
0.033750,15.582457,26.216127,25.404938,12.073075,0.197975,0.000000,0.000000
0.033900,15.589630,26.193602,25.392738,12.036856,0.197381,0.000000,0.000000
0.034050,15.599345,26.170676,25.380082,12.000745,0.196789,0.000000,0.000000
0.034200,15.611504,26.147353,25.366975,11.964743,0.196199,0.000000,0.000000
0.034350,15.625897,26.123637,25.353421,11.928849,0.195610,0.000000,0.000000
0.034500,15.642216,26.099531,25.339423,11.893062,0.195023,0.000000,0.000000
0.034650,15.660068,26.075040,25.324985,11.857383,0.194438,0.000000,0.000000
0.034800,15.678996,26.050167,25.310112,11.821811,0.193855,0.000000,0.000000
0.034950,15.698496,26.024917,25.294807,11.786345,0.193273,0.000000,0.000000
0.035100,15.718043,25.999293,25.279074,11.750986,0.192694,0.000000,0.000000
0.035250,15.737118,25.973299,25.262917,11.715733,0.192116,0.000000,0.000000
0.035400,15.755229,25.946939,25.246340,11.680586,0.191539,0.000000,0.000000
0.035550,15.771936,25.920217,25.229346,11.645544,0.190965,0.000000,0.000000
0.035700,15.786872,25.893136,25.211939,11.610608,0.190392,0.000000,0.000000
0.035850,15.799758,25.865701,25.194124,11.575776,0.189820,0.000000,0.000000
0.036000,15.810416,25.837915,25.175904,11.541049,0.189251,0.000000,0.000000
0.036150,15.818778,25.809782,25.157282,11.506426,0.188683,0.000000,0.000000
0.036300,15.824882,25.781305,25.138263,11.471906,0.188117,0.000000,0.000000
0.036450,15.828877,25.752489,25.118849,11.437491,0.187553,0.000000,0.000000
0.036600,15.831005,25.723336,25.099046,11.403178,0.186990,0.000000,0.000000
0.036750,15.831596,25.693852,25.078856,11.368969,0.186429,0.000000,0.000000
0.036900,15.831048,25.664038,25.058283,11.334862,0.185870,0.000000,0.000000
0.037050,15.829806,25.633899,25.037331,11.300857,0.185312,0.000000,0.000000
0.037200,15.828345,25.603439,25.016004,11.266954,0.184756,0.000000,0.000000
0.037350,15.827142,25.572661,24.994305,11.233154,0.184202,0.000000,0.000000
0.037500,15.826662,25.541568,24.972237,11.199454,0.183650,0.000000,0.000000
0.037650,15.827327,25.510164,24.949805,11.165856,0.183099,0.000000,0.000000
0.037800,15.829504,25.478453,24.927011,11.132358,0.182549,0.000000,0.000000
0.037950,15.833488,25.446438,24.903861,11.098961,0.182002,0.000000,0.000000
0.038100,15.839486,25.414123,24.880356,11.065664,0.181456,0.000000,0.000000
0.038250,15.847612,25.381510,24.856500,11.032467,0.180911,0.000000,0.000000
0.038400,15.857882,25.348604,24.832298,10.999370,0.180369,0.000000,0.000000
0.038550,15.870215,25.315408,24.807752,10.966372,0.179827,0.000000,0.000000
0.038700,15.884438,25.281925,24.782866,10.933473,0.179288,0.000000,0.000000
0.038850,15.900300,25.248159,24.757643,10.900672,0.178750,0.000000,0.000000
0.039000,15.917479,25.214112,24.732087,10.867970,0.178214,0.000000,0.000000
0.039150,15.935608,25.179789,24.706202,10.835366,0.177679,0.000000,0.000000
0.039300,15.954291,25.145192,24.679990,10.802860,0.177146,0.000000,0.000000
0.039450,15.973124,25.110325,24.653455,10.770452,0.176615,0.000000,0.000000
0.039600,15.991718,25.075190,24.626600,10.738140,0.176085,0.000000,0.000000
0.039750,16.009720,25.039793,24.599430,10.705926,0.175557,0.000000,0.000000
0.039900,16.026829,25.004134,24.571946,10.673808,0.175030,0.000000,0.000000
0.040050,16.042812,24.968218,24.544152,10.641787,0.174505,0.000000,0.000000
0.040200,16.057509,24.932048,24.516053,10.609861,0.173981,0.000000,0.000000
0.040350,16.070841,24.895627,24.487650,10.578032,0.173459,0.000000,0.000000
0.040500,16.082807,24.858958,24.458947,10.546298,0.172939,0.000000,0.000000
0.040650,16.093479,24.822044,24.429948,10.514659,0.172420,0.000000,0.000000
0.040800,16.102993,24.784889,24.400655,10.483115,0.171903,0.000000,0.000000
0.040950,16.111540,24.747494,24.371072,10.451665,0.171387,0.000000,0.000000
0.041100,16.119350,24.709864,24.341202,10.420310,0.170873,0.000000,0.000000
0.041250,16.126683,24.672001,24.311048,10.389049,0.170360,0.000000,0.000000
0.041400,16.133813,24.633909,24.280614,10.357882,0.169849,0.000000,0.000000
0.041550,16.141016,24.595590,24.249901,10.326809,0.169340,0.000000,0.000000
0.041700,16.148558,24.557047,24.218915,10.295828,0.168832,0.000000,0.000000
0.041850,16.156680,24.518283,24.187656,10.264941,0.168325,0.000000,0.000000
0.042000,16.165595,24.479301,24.156130,10.234146,0.167820,0.000000,0.000000
0.042150,16.175475,24.440104,24.124337,10.203444,0.167317,0.000000,0.000000
0.042300,16.186448,24.400695,24.092283,10.172833,0.166815,0.000000,0.000000
0.042450,16.198593,24.361077,24.059969,10.142315,0.166314,0.000000,0.000000
0.042600,16.211943,24.321252,24.027399,10.111888,0.165816,0.000000,0.000000
0.042750,16.226483,24.281223,23.994575,10.081552,0.165318,0.000000,0.000000
0.042900,16.242155,24.240993,23.961501,10.051307,0.164822,0.000000,0.000000
0.043050,16.258868,24.200565,23.928180,10.021153,0.164328,0.000000,0.000000
0.043200,16.276498,24.159942,23.894613,9.991090,0.163835,0.000000,0.000000
0.043350,16.294905,24.119125,23.860805,9.961117,0.163343,0.000000,0.000000
0.043500,16.313933,24.078119,23.826758,9.931233,0.162853,0.000000,0.000000
0.043650,16.333419,24.036925,23.792475,9.901440,0.162365,0.000000,0.000000
0.043800,16.353205,23.995546,23.757959,16.538402,0.161877,0.000000,0.000000
0.043950,16.373135,23.953985,23.723212,16.488787,0.161392,0.000000,0.000000
0.044100,16.393070,23.912245,23.688238,16.439320,0.160908,0.000000,0.000000
0.044250,16.412883,23.870327,23.653039,23.056669,0.160425,0.000000,0.000000
0.044400,16.432470,23.828235,23.617617,22.987499,0.159944,0.000000,0.000000
0.044550,16.451748,23.785971,23.581977,22.918537,0.159464,0.000000,0.000000
0.044700,16.470658,23.743538,23.546119,22.849781,0.158985,0.000000,0.000000
0.044850,16.489163,23.700937,23.510048,22.781232,0.158508,0.000000,0.000000
0.045000,16.507251,23.658173,23.473765,22.712888,0.158033,0.000000,0.000000
0.045150,16.524930,23.615246,23.437273,22.644749,0.157559,0.000000,0.000000
0.045300,16.542226,23.572160,23.400576,22.576815,0.157086,0.000000,0.000000
0.045450,16.559183,23.528916,23.363675,22.509085,0.156615,0.000000,0.000000
0.045600,16.575858,23.485518,23.326573,22.441557,0.156145,0.000000,0.000000
0.045750,16.592315,23.441968,23.289273,22.374233,0.155677,0.000000,0.000000
0.045900,16.608626,23.398267,23.251778,22.307110,0.155210,0.000000,0.000000
0.046050,16.624867,23.354419,23.214089,22.240189,0.154744,0.000000,0.000000
0.046200,16.641111,23.310426,23.176209,22.173468,0.154280,0.000000,0.000000
0.046350,16.657430,23.266289,23.138141,22.106948,0.153817,0.000000,0.000000
0.046500,16.673887,23.222012,23.099888,22.040627,0.153355,0.000000,0.000000
