# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
98,-65.9398,-65.9398,0
98.25,-65.9349,-65.9349,0
98.5,-65.93,-65.93,0
98.75,-65.9252,-65.9252,0
99,-65.9203,-65.9203,0
99.25,-65.9155,-65.9155,0
99.5,-65.9107,-65.9107,0
99.75,-65.9059,-65.9059,0
100,-65.9011,-65.9011,0
100.25,-65.8963,-65.8963,0
100.5,-65.8916,-65.8916,0
100.75,-65.8869,-65.8869,0
101,-65.8822,-65.8822,0
101.25,-65.8775,-65.8775,0
101.5,-65.8728,-65.8728,0
101.75,-65.8681,-65.8681,0
102,-65.8635,-65.8635,0
102.25,-65.8589,-65.8589,0
102.5,-65.8543,-65.8543,0
102.75,-65.8497,-65.8497,0
103,-65.8451,-65.8451,0
103.25,-65.8406,-65.8406,0
103.5,-65.8361,-65.8361,0
103.75,-65.8316,-65.8316,0
104,-65.8271,-65.8271,0
104.25,-65.8226,-65.8226,0
104.5,-65.8181,-65.8181,0
104.75,-65.8137,-65.8137,0
105,-65.8092,-65.8092,0
105.25,-65.8048,-65.8048,0
105.5,-65.8004,-65.8004,0
105.75,-65.796,-65.796,0
106,-65.7917,-65.7917,0
106.25,-65.7873,-65.7873,0
106.5,-65.783,-65.783,0
106.75,-65.7787,-65.7787,0
107,-65.7744,-65.7744,0
107.25,-65.7701,-65.7701,0
107.5,-65.7658,-65.7658,0
107.75,-65.7616,-65.7616,0
108,-65.7573,-65.7573,0
108.25,-65.7531,-65.7531,0
108.5,-65.7489,-65.7489,0
108.75,-65.7447,-65.7447,0
109,-65.7405,-65.7405,0
109.25,-65.7364,-65.7364,0
109.5,-65.7322,-65.7322,0
109.75,-65.7281,-65.7281,0
110,-65.724,-65.724,0
110.25,-65.7198,-65.7198,0
110.5,-65.7158,-65.7158,0
