# OpenSim computeMomentArm, model/rat_hindlimb_faz1a.osim, poz cl_grid3d FIX (kalca 39.94 derece); panel b sarma kumesi bosaltilarak olculdu
# dogrulama_momentkolu.png kaynak verisi
panel,x_derece,kas,r_mm
a_diz_suprusu,-120.847,GA,-9.4237
a_diz_suprusu,-120.847,Pla,-4.1308
a_diz_suprusu,-120.847,MG,-3.4324
a_diz_suprusu,-120.847,LG,-3.0727
a_diz_suprusu,-120.847,Pop,-1.5902
a_diz_suprusu,-119.746,RF,3.7011
a_diz_suprusu,-119.746,VL,3.7300
a_diz_suprusu,-119.746,VI,3.7261
a_diz_suprusu,-119.746,VM,3.7072
a_diz_suprusu,-119.746,SM,-3.8589
a_diz_suprusu,-119.746,STa,-15.4458
a_diz_suprusu,-119.746,STp,-14.9501
a_diz_suprusu,-119.746,BFp,-13.7584
a_diz_suprusu,-119.746,GP,-12.3259
a_diz_suprusu,-119.746,GA,-9.3824
a_diz_suprusu,-119.746,Pla,-4.1325
a_diz_suprusu,-119.746,MG,-3.4366
a_diz_suprusu,-119.746,LG,-3.0805
a_diz_suprusu,-119.746,Pop,-1.5842
a_diz_suprusu,-118.644,RF,3.7172
a_diz_suprusu,-118.644,VL,3.7423
a_diz_suprusu,-118.644,VI,3.7390
a_diz_suprusu,-118.644,VM,3.7227
a_diz_suprusu,-118.644,SM,-3.8139
a_diz_suprusu,-118.644,STa,-15.3973
a_diz_suprusu,-118.644,STp,-14.8642
a_diz_suprusu,-118.644,BFp,-13.7293
a_diz_suprusu,-118.644,GP,-12.2931
a_diz_suprusu,-118.644,GA,-9.3410
a_diz_suprusu,-118.644,Pla,-4.1331
a_diz_suprusu,-118.644,MG,-3.4399
a_diz_suprusu,-118.644,LG,-3.0875
a_diz_suprusu,-118.644,Pop,-1.5777
a_diz_suprusu,-117.542,RF,3.7296
a_diz_suprusu,-117.542,VL,3.7502
a_diz_suprusu,-117.542,VI,3.7478
a_diz_suprusu,-117.542,VM,3.7343
a_diz_suprusu,-117.542,SM,-3.7708
a_diz_suprusu,-117.542,STa,-15.3487
a_diz_suprusu,-117.542,STp,-14.7793
a_diz_suprusu,-117.542,BFp,-13.6995
a_diz_suprusu,-117.542,GP,-12.2594
a_diz_suprusu,-117.542,GA,-9.3002
a_diz_suprusu,-117.542,Pla,-4.1331
a_diz_suprusu,-117.542,MG,-3.4428
a_diz_suprusu,-117.542,LG,-3.0940
