# Ib surucusu v2 — F(t)/maksF; normalizasyon tabani BAYRAKSIZ bolgeden (dongu %3.5+; kopru penceresi %0-3.4 katı-ayak/kopru artefakt bayragi tasir ve 1.0 asabilir); kuvvet = Fmax·a·fL·fV·cos(alfa); a: stance u_stance_v4 + salinim u_swing_v2; pps kazanci Faz 4 parametresi
gait_pct,BFa_Ib,BFp_Ib,CF_Ib,STp_Ib,STa_Ib,SM_Ib,QF_Ib,TFL_Ib,GMa_Ib,GMe_Ib,GMi_Ib,Pir_Ib,GP_Ib,GA_Ib,AL_Ib,AM_Ib,AB_Ib,Pec_Ib,IP_Ib,OE_Ib,OI_Ib,GS_Ib,GI_Ib,RF_Ib,VL_Ib,VI_Ib,VM_Ib,MG_Ib,LG_Ib,Pla_Ib,Sol_Ib,TA_Ib,EDL_Ib,TP_Ib,FDL_Ib,FHL_Ib,Per_Ib,Pop_Ib
21.5,0.55620,0.19350,0.00000,0.00000,0.23234,0.47165,0.35246,0.00000,0.00000,0.00000,0.00000,0.57527,0.00000,0.00000,0.00000,0.44446,0.54786,0.00000,0.00000,0.00000,0.30135,0.46231,0.23213,0.52319,0.72916,0.75439,0.72648,0.09689,0.87412,0.00000,0.72703,0.54907,0.00000,0.66649,0.00000,0.23885,0.00000,0.00000
22.0,0.52150,0.16343,0.00000,0.00000,0.20470,0.45721,0.33587,0.00000,0.00000,0.00000,0.00000,0.52258,0.00000,0.00000,0.00000,0.47841,0.60281,0.00000,0.00000,0.00000,0.28196,0.43512,0.21463,0.51060,0.71336,0.73951,0.71074,0.09174,0.86890,0.00000,0.71261,0.54903,0.00000,0.64838,0.00000,0.22579,0.00000,0.00000
22.5,0.49152,0.13579,0.00000,0.00000,0.17893,0.44555,0.32156,0.00000,0.00000,0.00000,0.00000,0.47395,0.00000,0.00000,0.00000,0.50937,0.65350,0.00000,0.00000,0.00000,0.26519,0.41105,0.19938,0.49953,0.69859,0.72551,0.69600,0.09704,0.86702,0.00000,0.70022,0.55306,0.00000,0.63216,0.00000,0.21475,0.00000,0.00000
23.0,0.47153,0.11422,0.00000,0.00000,0.15848,0.43845,0.31031,0.00000,0.00000,0.00000,0.00000,0.43473,0.00000,0.00000,0.00000,0.53432,0.69570,0.00000,0.00000,0.00000,0.25214,0.39261,0.18697,0.49024,0.68584,0.71335,0.68322,0.11161,0.86908,0.00000,0.69042,0.56162,0.00000,0.61807,0.00000,0.20599,0.00000,0.00000
23.5,0.45532,0.09373,0.00000,0.00000,0.13919,0.43327,0.30035,0.00000,0.00000,0.00000,0.00000,0.40067,0.00000,0.00000,0.00000,0.55764,0.73329,0.00000,0.00000,0.03172,0.24075,0.37668,0.17589,0.48209,0.67323,0.70092,0.67047,0.13154,0.87033,0.00000,0.68045,0.57131,0.00000,0.60291,0.00000,0.19909,0.00000,0.00000
24.0,0.44109,0.07097,0.00000,0.00000,0.11977,0.42901,0.29053,0.00000,0.00000,0.00000,0.00000,0.37679,0.00000,0.00000,0.00000,0.58165,0.76278,0.00000,0.00000,0.20947,0.23007,0.36306,0.16538,0.47470,0.65996,0.68714,0.65690,0.15830,0.87077,0.00000,0.66936,0.58179,0.00000,0.58586,0.00000,0.19374,0.00000,0.00000
24.5,0.43151,0.04913,0.00000,0.00000,0.10133,0.42692,0.28222,0.00000,0.00000,0.00000,0.00000,0.35691,0.00000,0.00000,0.00000,0.60415,0.78983,0.00000,0.00000,0.37571,0.22113,0.35208,0.15617,0.46946,0.64707,0.67274,0.64344,0.19429,0.87324,0.00000,0.65802,0.59517,0.00000,0.56791,0.00000,0.18997,0.00000,0.00000
25.0,0.42944,0.02824,0.02026,0.00000,0.08451,0.42682,0.27528,0.00000,0.00000,0.00000,0.00000,0.34403,0.00000,0.00000,0.00000,0.62192,0.81006,0.00000,0.00000,0.49429,0.21415,0.34467,0.14825,0.46753,0.63436,0.65693,0.62974,0.23749,0.87523,0.00000,0.64490,0.60795,0.00000,0.54663,0.00000,0.18789,0.00000,0.00000
25.5,0.43017,0.00697,0.07651,0.00000,0.06737,0.42929,0.26992,0.00000,0.00000,0.00000,0.00000,0.33296,0.00000,0.00000,0.00000,0.64309,0.83396,0.00000,0.00000,0.62584,0.20854,0.33926,0.14131,0.46794,0.62161,0.63855,0.61541,0.29515,0.88221,0.00000,0.62987,0.62823,0.00000,0.52361,0.00000,0.18583,0.00000,0.00000
26.0,0.41289,0.00000,0.15674,0.00000,0.02322,0.42665,0.26244,0.00000,0.00000,0.00000,0.00000,0.32469,0.00000,0.00000,0.00000,0.68908,0.86951,0.00000,0.00000,0.64576,0.19964,0.32988,0.13263,0.48171,0.61136,0.61857,0.60259,0.36797,0.89611,0.00000,0.61284,0.65846,0.00000,0.49749,0.00000,0.18365,0.00000,0.00000
26.5,0.39039,0.00000,0.20097,0.00000,0.00000,0.42359,0.25575,0.00000,0.00000,0.00000,0.00000,0.32013,0.00000,0.00000,0.07976,0.74953,0.91397,0.00000,0.00000,0.61141,0.19076,0.32101,0.12423,0.50921,0.60335,0.59386,0.59049,0.47808,0.92701,0.00000,0.59139,0.71110,0.00000,0.46566,0.00000,0.17871,0.00000,0.00000
27.0,0.36180,0.00000,0.25348,0.00000,0.00000,0.41937,0.24876,0.00000,0.00000,0.00000,0.00000,0.31435,0.00000,0.00000,0.17319,0.81740,0.96259,0.00000,0.00000,0.57210,0.18120,0.31078,0.11568,0.54145,0.59538,0.56196,0.57712,0.58687,0.96777,0.02443,0.56844,0.77510,0.00000,0.42787,0.00000,0.17452,0.00000,0.00000
27.5,0.33703,0.00000,0.30045,0.00000,0.00000,0.41014,0.23826,0.00000,0.00000,0.00000,0.00000,0.30647,0.00000,0.00000,0.24324,0.85753,0.98260,0.00000,0.00000,0.50904,0.17038,0.29806,0.10625,0.55936,0.59025,0.54175,0.56860,0.68115,0.98834,0.14648,0.54978,0.82143,0.00000,0.39785,0.00000,0.17305,0.00000,0.00000
28.0,0.31747,0.00000,0.34574,0.00000,0.00000,0.40145,0.22804,0.00000,0.00000,0.00000,0.00000,0.30156,0.00000,0.00000,0.30051,0.88933,0.99379,0.00000,0.00000,0.41134,0.16054,0.28692,0.09752,0.57553,0.58491,0.52282,0.56013,0.75630,1.00000,0.24749,0.53054,0.85332,0.00000,0.37062,0.00000,0.17089,0.00000,0.00000
28.5,0.29310,0.00000,0.38775,0.00000,0.00000,0.39004,0.21663,0.00000,0.00000,0.00000,0.00000,0.29406,0.00000,0.00000,0.35762,0.91814,1.00000,0.00000,0.00000,0.30970,0.14978,0.27359,0.08856,0.58978,0.57788,0.50378,0.55031,0.80569,0.99817,0.31553,0.50931,0.86907,0.00000,0.34441,0.00000,0.16793,0.00000,0.00000
29.0,0.27129,0.00000,0.42721,0.00000,0.00000,0.37825,0.20521,0.00000,0.00000,0.00000,0.00000,0.28804,0.00000,0.00000,0.40507,0.93975,0.99852,0.00000,0.00000,0.17803,0.13956,0.26087,0.08013,0.60214,0.57032,0.48559,0.54024,0.83898,0.98884,0.36337,0.48796,0.87300,0.00000,0.32018,0.00000,0.16487,0.00000,0.00000
29.5,0.25882,0.00000,0.46891,0.00000,0.00000,0.37099,0.19605,0.00000,0.00000,0.00000,0.00000,0.28441,0.00000,0.00000,0.44180,0.95800,0.99724,0.00000,0.00000,0.06800,0.13179,0.25174,0.07322,0.61238,0.56546,0.47090,0.53298,0.89634,0.99509,0.45973,0.47203,0.89273,0.00000,0.30243,0.00000,0.16274,0.00000,0.00000
30.0,0.24803,0.00000,0.50848,0.00000,0.00000,0.36337,0.18669,0.00000,0.00000,0.00000,0.00000,0.28488,0.00000,0.00000,0.47138,0.97188,0.98902,0.00000,0.00000,0.00000,0.12426,0.24333,0.06665,0.62045,0.56038,0.45708,0.52573,0.94391,0.99700,0.54408,0.45650,0.90599,0.00000,0.28615,0.00000,0.16089,0.00000,0.00000
30.5,0.22783,0.00000,0.54147,0.00000,0.00000,0.35176,0.17572,0.00000,0.00000,0.00000,0.00000,0.28513,0.00000,0.00000,0.50411,0.98567,0.97560,0.00000,0.00000,0.00000,0.11511,0.23200,0.05968,0.62706,0.55342,0.44275,0.51695,0.96642,0.98631,0.59095,0.43931,0.90506,0.00000,0.26965,0.00000,0.15869,0.00000,0.00000
