# u(t) swing v2 — faz1a + smooth .mot; ID(15Hz, kas haric) + SO(min Σa², rijit tendon, fV(vm) Thelen a=1 kapali-form, 7 DOF kisit, rezerv W=1e6; max|rezerv| 0.013 N·mm)
gait_pct,BFa,BFp,CF,STp,STa,SM,QF,TFL,GMa,GMe,GMi,Pir,GP,GA,AL,AM,AB,Pec,IP,OE,OI,GS,GI,RF,VL,VI,VM,MG,LG,Pla,Sol,TA,EDL,TP,FDL,FHL,Per,Pop
70.0,0.02565,0.00728,0.00000,0.00988,0.00000,0.00000,0.00000,0.00721,0.03428,0.00907,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07665,0.02733,0.00000,0.00000,0.00000,0.04082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00190,0.00000,0.01230,0.00258,0.00000,0.00385,0.00000,0.00395,0.00759
70.5,0.02811,0.00680,0.00000,0.01026,0.00000,0.00000,0.00000,0.00706,0.03447,0.00932,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07622,0.02761,0.00000,0.00000,0.00000,0.04001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00191,0.00000,0.01232,0.00265,0.00000,0.00383,0.00000,0.00391,0.00787
71.0,0.03056,0.00635,0.00000,0.01060,0.00000,0.00000,0.00000,0.00692,0.03472,0.00955,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07567,0.02781,0.00000,0.00000,0.00000,0.03915,0.00000,0.00000,0.00000,0.00000,0.00000,0.00192,0.00000,0.01236,0.00270,0.00000,0.00383,0.00000,0.00384,0.00817
71.5,0.03299,0.00592,0.00000,0.01089,0.00000,0.00000,0.00000,0.00679,0.03503,0.00975,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07503,0.02795,0.00000,0.00000,0.00000,0.03825,0.00000,0.00000,0.00000,0.00000,0.00000,0.00191,0.00000,0.01243,0.00276,0.00000,0.00387,0.00000,0.00375,0.00850
72.0,0.03539,0.00550,0.00000,0.01113,0.00000,0.00000,0.00000,0.00666,0.03537,0.00972,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07427,0.02805,0.00000,0.00000,0.00000,0.03733,0.00000,0.00000,0.00000,0.00000,0.00000,0.00191,0.00000,0.01250,0.00281,0.00000,0.00394,0.00000,0.00364,0.00885
72.5,0.03773,0.00512,0.00000,0.01121,0.00000,0.00000,0.00000,0.00653,0.03576,0.00962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07334,0.02805,0.00000,0.00000,0.00000,0.03635,0.00000,0.00000,0.00000,0.00000,0.00000,0.00192,0.00000,0.01258,0.00285,0.00000,0.00404,0.00000,0.00351,0.00922
73.0,0.03998,0.00474,0.00000,0.01136,0.00000,0.00000,0.00000,0.00643,0.03621,0.00949,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07247,0.02801,0.00000,0.00000,0.00000,0.03535,0.00000,0.00000,0.00000,0.00000,0.00000,0.00194,0.00000,0.01267,0.00289,0.00000,0.00420,0.00000,0.00340,0.00965
73.5,0.04213,0.00439,0.00000,0.01149,0.00000,0.00000,0.00000,0.00634,0.03673,0.00933,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07160,0.02790,0.00000,0.00000,0.00000,0.03431,0.00000,0.00000,0.00000,0.00000,0.00000,0.00193,0.00000,0.01277,0.00295,0.00000,0.00444,0.00000,0.00339,0.01014
74.0,0.04416,0.00405,0.00000,0.01158,0.00000,0.00000,0.00000,0.00626,0.03729,0.00913,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07071,0.02772,0.00000,0.00000,0.00000,0.03322,0.00000,0.00000,0.00000,0.00000,0.00000,0.00193,0.00000,0.01286,0.00300,0.00000,0.00474,0.00000,0.00336,0.01069
74.5,0.04604,0.00372,0.00000,0.01164,0.00000,0.00000,0.00000,0.00618,0.03786,0.00888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06977,0.02744,0.00000,0.00000,0.00000,0.03207,0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.01294,0.00304,0.00000,0.00508,0.00000,0.00331,0.01160
75.0,0.04779,0.00341,0.00000,0.01168,0.00000,0.00000,0.00000,0.00613,0.03848,0.00861,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06892,0.02712,0.00000,0.00000,0.00000,0.03088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00201,0.00000,0.01301,0.00307,0.00000,0.00548,0.00000,0.00323,0.01216
75.5,0.04941,0.00314,0.00000,0.01172,0.00000,0.00000,0.00000,0.00608,0.03914,0.00831,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06817,0.02676,0.00000,0.00000,0.00000,0.02965,0.00000,0.00000,0.00000,0.00000,0.00000,0.00208,0.00000,0.01306,0.00308,0.00000,0.00595,0.00000,0.00313,0.01241
76.0,0.05089,0.00289,0.00000,0.01175,0.00000,0.00000,0.00000,0.00605,0.03982,0.00797,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06750,0.02635,0.00000,0.00000,0.00000,0.02838,0.00000,0.00000,0.00000,0.00000,0.00000,0.00217,0.00000,0.01308,0.00308,0.00000,0.00648,0.00000,0.00300,0.01249
76.5,0.05222,0.00268,0.00000,0.01177,0.00000,0.00000,0.00000,0.00602,0.04051,0.00761,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06691,0.02589,0.00000,0.00000,0.00000,0.02707,0.00000,0.00000,0.00000,0.00000,0.00000,0.00202,0.00000,0.01310,0.00305,0.00000,0.00709,0.00000,0.00286,0.01248
77.0,0.05342,0.00249,0.00000,0.01178,0.00000,0.00000,0.00000,0.00600,0.04119,0.00723,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06639,0.02538,0.00000,0.00000,0.00000,0.02572,0.00000,0.00000,0.00000,0.00000,0.00000,0.00151,0.00000,0.01312,0.00299,0.00000,0.00780,0.00000,0.00272,0.01240
77.5,0.05445,0.00233,0.00000,0.01178,0.00000,0.00000,0.00000,0.00598,0.04186,0.00680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06588,0.02481,0.00000,0.00000,0.00000,0.02433,0.00000,0.00000,0.00000,0.00000,0.00000,0.00102,0.00000,0.01305,0.00288,0.00000,0.00856,0.00000,0.00255,0.01228
